appid,name,release_date,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
314210,Tesla Breaks the World!                   ,2014-11-26,0,16,6,38,53,65
314220,Bombing Bastards                          ,2014-12-04,0,17,69,43,0,0
314230,Rodina                                    ,2014-07-28,0,0,1111,76,73,73
314240,RPG Tycoon                                ,2016-02-12,0,73,267,193,149,149
314250,Jet Gunner                                ,2014-08-04,0,37,464,137,90,111
314280,The Forgotten Ones                        ,2014-07-17,0,12,903,601,24,24
314290,Obludia                                   ,2014-07-18,0,26,32,33,0,0
314300,CubeZ                                     ,2014-12-01,0,0,14,34,0,0
314320,GamersGoMakers                            ,2014-08-08,0,0,302,79,0,0
314330,DROD: Gunthro and the Epic Blunder        ,2016-09-23,0,300,54,6,0,0
314340,Chess 2: The Sequel                       ,2014-08-19,0,14,50,46,0,0
314350,Abatron                                   ,2017-03-10,0,0,11,0,0,0
314360,Aritana and the Harpy's Feather           ,2014-08-15,0,37,85,9,0,0
314370,boxlife                                   ,2016-01-14,0,1,86,26,0,0
314380,Lantern Forge                             ,2014-07-18,0,0,146,120,0,0
314410,Rampage Knights                           ,2015-09-04,0,84,2301,189,290,315
314460,Jamsouls                                  ,2014-08-21,0,26,31,31,338,339
314470,Heroes of a Broken Land                   ,2014-08-07,0,82,122,22,0,0
314510,Fall of the New Age Premium Edition       ,2014-07-25,0,0,75,51,0,0
314520,Euro Fishing                              ,2015-11-02,0,97,896,571,0,0
314530,Aware                                     ,2015-03-18,0,0,11,12,0,0
314540,Paper Monsters Recut                      ,2014-10-23,0,0,25,11,0,0
314560,Kyn                                       ,2015-07-28,0,49,75,42,0,0
314570,The Sun at Night                          ,2014-08-01,0,23,20,21,126,126
314590,room13                                    ,2017-01-13,0,50,55,14,0,0
314610,Vincere Totus Astrum                      ,2017-02-20,0,0,1,0,0,0
314630,The Thin Silence                          ,2018-04-27,0,25,17,2,0,0
314660,Oddworld: New 'n' Tasty                   ,2015-02-25,0,35,2020,284,215,330
314710,Mighty No. 9                              ,2016-06-23,0,70,1367,1389,28,28
314760,Direct Hit: Missile War                   ,2014-08-07,0,18,9,12,0,0
314770,Pe-2: Dive Bomber                         ,2014-08-06,0,0,8,4,0,0
314790,Silence                                   ,2016-11-15,0,46,1044,173,97,146
314810,Randal's Monday                           ,2014-11-12,0,21,637,199,13,13
314830,Blackguards 2                             ,2015-01-20,0,50,490,247,151,158
314950,Spectre                                   ,2016-10-03,0,0,11,26,0,0
314970,Age of Conquest IV                        ,2016-04-05,0,21,1229,334,93,141
314980,Supreme Ruler Ultimate                    ,2014-10-17,0,33,437,166,0,0
315060,Bloop Reloaded                            ,2015-02-06,0,11,205,107,322,319
315070,Blob From Space                           ,2014-10-15,0,33,25,95,212,264
315080,Foresight                                 ,2014-11-28,0,104,36,7,333,333
315110,Woah Dave!                                ,2014-10-30,0,21,77,23,126,126
315130,CO-OP : Decrypted                         ,2015-08-17,0,20,27,31,0,0
315320,Skilltree Saga                            ,2014-12-04,0,38,48,101,0,0
315330,All Guns On Deck                          ,2015-08-28,0,0,140,207,244,476
315340,A.R.E.S. Extinction Agenda EX             ,2014-10-03,0,31,131,38,0,0
315430,Polarity                                  ,2016-07-15,0,10,3932,942,156,135
315450,Bliss                                     ,2014-12-08,0,10,29,18,0,0
315460,Dig or Die                                ,2018-07-10,0,18,2777,285,0,0
315480,The Escapist                              ,2014-09-15,0,14,4,17,0,0
315540,The Joylancer: Legendary Motor Knight     ,2014-11-07,0,0,62,55,0,0
315550,Taxi                                      ,2014-08-22,0,0,148,148,0,0
315610,Spud's Quest                              ,2014-07-31,0,0,22,6,0,0
315650,Deep Under the Sky                        ,2014-08-22,0,0,35,17,0,0
315660,Trainz: A New Era                         ,2015-05-14,0,23,831,423,90,90
315670,Raiden III Digital Edition                ,2014-09-23,0,0,170,58,860,860
315680,Spellcrafter                              ,2015-05-04,0,20,19,36,0,0
315810,eden*                                     ,2015-01-30,0,0,1966,77,385,385
315830,Daedalus - No Escape                      ,2014-10-28,0,44,98,18,0,0
315840,Catacomb Kids                             ,2015-02-20,0,0,381,38,0,0
315850,Amazing Princess Sarah                    ,2014-08-18,0,12,129,66,0,0
315860,Celestian Tales: Old North                ,2015-08-10,0,18,230,106,277,277
315920,Stonerid                                  ,2014-08-15,0,37,118,55,0,0
315930,Bravada                                   ,2014-08-22,0,48,47,9,0,0
315940,Top Hat                                   ,2014-07-31,0,81,39,23,0,0
316010,Magic Duels                               ,2015-07-29,0,49,16599,6912,1854,125
316020,Hangeki                                   ,2014-08-11,0,30,31,4,0,0
316030,Disney Alice in Wonderland                ,2014-10-06,0,0,69,29,0,0
316080,Parcel                                    ,2015-04-22,0,27,106,14,0,0
316140,Appointment With FEAR                     ,2014-08-26,0,30,52,32,0,0
316160,Broken Sword 4 - the Angel of Death       ,2014-11-04,0,0,63,90,0,0
316180,A City Sleeps™                          ,2014-10-16,0,16,51,33,0,0
316240,Professional Lumberjack 2015              ,2015-03-05,0,0,20,81,0,0
316260,Disney Universe                           ,2014-10-06,0,0,72,22,0,0
316320,Disney•Pixar Cars Toon: Mater's Tall Tal,2014-10-06,0,0,10,11,0,0
316370,Wave of Darkness                          ,2015-11-05,0,126,49,39,0,0
316390,sZone-Online                              ,2015-12-29,0,0,3205,4886,39,27
316420,The Curse of the Werewolves               ,2014-09-01,0,0,14,5,0,0
316430,Battle of Empires : 1914-1918             ,2015-07-22,0,319,1092,571,0,0
316480,Shadow Puppeteer                          ,2014-09-29,0,6,98,30,0,0
316600,QP Shooting - Dangerous!!                 ,2014-11-14,0,36,349,27,207,221
316610,A Good Snowman Is Hard To Build           ,2015-02-25,0,5,197,9,0,0
316660,Toast Time                                ,2014-08-27,0,9,59,15,0,0
316700,Front Page Sports Football                ,2014-10-02,0,0,7,53,0,0
316720,planetarian ~the reverie of a little plane,2014-09-12,0,19,1475,37,69,138
316740,Biglands: A Game Made By Kids             ,2014-08-25,0,15,28,32,0,0
316790,Grim Fandango Remastered                  ,2015-01-26,0,47,4129,471,285,322
316810,Shadowcrypt                               ,2014-09-15,0,20,49,43,0,0
316840,The Sacred Tears TRUE                     ,2014-09-25,0,0,45,15,1042,1042
316890,Calvino Noir                              ,2015-08-27,0,40,213,118,0,0
316930,Kings of Kung Fu                          ,2015-06-25,0,12,372,209,0,0
316950,War Operations                            ,2014-09-18,0,0,34,58,0,0
316970,The Waste Land                            ,2014-09-16,0,30,46,44,0,0
317020,Pajama Sam: Games to Play on Any Day      ,2014-10-23,0,0,26,4,0,0
317030,Fatty Bear's Birthday Surprise            ,2014-10-23,0,0,93,8,169,169
317040,The Original Strife: Veteran Edition      ,2014-12-12,0,20,329,28,288,300
317060,Attractio                                 ,2016-01-18,0,18,52,64,0,0
317080,MotorSport Revolution                     ,2015-01-15,0,0,14,62,0,0
317100,Republique                                ,2015-02-25,0,26,291,84,0,0
317250,Airscape - The Fall of Gravity            ,2015-08-11,0,23,2006,425,1718,244
317280,Solstice                                  ,2016-03-23,0,18,114,32,0,0
317290,Bionic Heart 2                            ,2014-09-22,0,24,21,15,0,0
317300,Roommates                                 ,2014-10-15,0,16,135,50,126,126
317320,Nelly Cootalot: The Fowl Fleet            ,2016-03-22,0,20,139,9,0,0
317360,Double Action: Boogaloo                   ,2014-10-23,0,14,9252,786,5852,50
317370,The Keep                                  ,2017-03-16,0,25,46,16,0,0
317380,War on Folvos                             ,2014-08-08,0,0,47,23,0,0
317410,Color Symphony                            ,2014-09-15,0,0,960,337,14,15
317440,Quantum Rush Champions                    ,2014-12-04,0,34,91,64,3,3
317470,Cubic Castles                             ,2014-08-13,0,0,2981,1176,93,161
317510,Beyond Gravity                            ,2014-09-23,0,40,787,101,105,174
317580,Disney•Pixar Toy Story Mania!           ,2014-10-06,0,0,8,6,0,0
317610,Prophour23                                ,2014-10-22,0,11,46,19,0,0
317620,Space Hulk: Ascension                     ,2014-11-12,0,163,508,212,225,225
317710,Velocibox                                 ,2014-09-08,0,24,527,68,199,199
317720,Tiestru                                   ,2014-08-20,0,0,13,34,0,0
317730,REVERSE SIDE                              ,2015-07-30,0,11,37,54,0,0
317820,Guild of Dungeoneering                    ,2015-07-14,0,49,1251,425,542,549
317840,Dokuro                                    ,2014-12-08,0,31,32,8,0,0
317920,Hills Of Glory 3D                         ,2015-05-28,0,0,8,8,6,6
317940,Karmaflow: The Rock Opera Videogame - Act ,2015-05-06,0,14,131,51,0,0
317950,KEL Reaper of Entropy                     ,2014-11-18,0,15,23,21,0,0
317970,Dusk 12                                   ,2014-08-22,0,0,50,59,0,0
318020,Act of Aggression - Reboot Edition        ,2015-09-02,0,85,1329,836,1416,2603
318090,DICETINY: The Lord of the Dice            ,2016-07-21,0,29,148,67,0,0
318100,AXYOS                                     ,2018-08-01,0,21,1071,1007,320,320
318130,Doom & Destiny                            ,2015-03-18,0,44,1580,54,0,0
318220,Enforcer: Police Crime Action             ,2014-10-24,18,0,1028,1119,150,150
318230,Convoy                                    ,2015-04-21,0,29,813,212,77,77
318260,Supreme: Pizza Empire                     ,2015-01-09,0,10,70,33,0,0
318300,Phineas and Ferb: New Inventions          ,2015-02-24,0,0,5,7,0,0
318310,Choice of the Deathless                   ,2014-08-29,0,32,292,22,0,0
318330,Mecha Ace                                 ,2014-12-05,0,29,103,14,0,0
318350,Disney Fairies: Tinker Bell's Adventure   ,2014-10-06,0,0,16,15,0,0
318430,Squishy the Suicidal Pig                  ,2014-10-23,0,11,2998,569,52,54
318440,Cubesis                                   ,2014-08-22,0,8,23,20,0,0
318480,Burnstar                                  ,2015-03-18,0,24,41,3,0,0
318530,Wings of Vi                               ,2014-11-28,0,40,826,156,143,143
318560,Unlimited Escape 2                        ,2015-04-22,0,0,1,5,0,0
318570,Hunters Of The Dead                       ,2014-09-04,0,0,86,48,0,0
318600,The Flame in the Flood                    ,2016-02-24,0,36,3612,1139,125,125
318650,SunAge: Battle for Elysium                ,2014-12-15,0,15,68,40,0,0
318660,Moorhuhn / Crazy Chicken Tales            ,2014-09-30,0,0,10,5,0,0
318680,History in Letters - The Eternal Alchemist,2015-12-08,0,28,4,2,0,0
318690,Cargo 3                                   ,2014-12-08,0,0,81,112,0,0
318740,Disney The Princess and the Frog          ,2014-10-06,0,0,11,3,0,0
318860,Malebolgia                                ,2015-05-06,0,6,70,40,0,0
318950,Disney Tangled                            ,2014-10-06,0,0,17,13,0,0
318970,StarCrawlers                              ,2017-05-23,0,41,421,72,0,0
319050,Chaos Reborn                              ,2015-10-26,0,34,745,218,0,0
319080,Disney Princess: My Fairytale Adventure   ,2014-10-06,0,0,71,12,0,0
319140,Xeodrifter™                             ,2014-12-11,0,17,414,150,0,0
319170,Disney G-Force                            ,2014-10-06,0,0,92,10,0,0
319180,Platypus II                               ,2014-08-15,0,0,319,203,220,221
319210,Space Salvager                            ,2014-11-25,0,0,9,14,0,0
319230,Gold Rush! Anniversary                    ,2014-11-07,0,0,98,68,358,381
319250,Magicmaker                                ,2014-09-22,0,82,410,42,0,0
319270,Great Permutator                          ,2014-09-15,0,16,100,14,0,0
319280,Yatagarasu Attack on Cataclysm            ,2015-07-07,0,0,174,69,0,0
319300,Trainz Trouble                            ,2014-08-26,0,0,23,6,0,0
319320,Time Mysteries 3: The Final Enigma        ,2014-09-11,0,11,266,41,0,0
319400,Disney Winnie the Pooh                    ,2014-10-06,0,0,137,17,0,0
319430,CHAOS - In the Darkness                   ,2015-10-07,0,0,11,19,13,13
319450,Chariot                                   ,2014-11-12,0,46,172,44,28,28
319470,Ninja Pizza Girl                          ,2015-09-30,0,28,212,50,318,318
319480,Odallus: The Dark Call                    ,2015-07-15,0,29,792,89,261,276
319510,Five Nights at Freddy's                   ,2014-08-19,0,0,15784,2179,474,615
319550,The Collider                              ,2014-09-15,0,24,815,127,0,0
319560,Reprisal Universe                         ,2014-09-15,0,0,286,75,14,14
319570,Heroes of SoulCraft - Arcade MOBA         ,2015-07-20,0,17,191,293,11,21
319630,Life is Strange - Episode 1               ,2015-01-29,16,60,118634,4496,412,145
319730,GRANADO ESPADA                            ,2017-02-23,0,0,95,105,3,3
319740,There Came an Echo                        ,2015-02-24,0,16,248,87,0,0
319760,Oh My Gore!                               ,2016-10-20,0,39,153,20,0,0
319780,Airport Simulator 2015                    ,2015-04-22,0,43,45,91,0,0
319830,AX:EL - Air XenoDawn                      ,2015-12-04,0,22,741,223,189,233
319850,Bridge Constructor Medieval               ,2014-09-15,0,14,292,61,48,48
319910,Trine 3: The Artifacts of Power           ,2015-08-20,0,28,3619,1819,449,537
319970,The Detail                                ,2014-10-28,18,55,403,143,289,289
320040,Moon Hunters                              ,2016-03-10,0,47,1458,440,794,794
320090,This Starry Midnight We Make              ,2015-06-01,0,21,40,4,0,0
320110,Train Town                                ,2014-08-26,0,0,41,26,0,0
320120,Meadowland                                ,2014-10-22,0,14,25,21,0,0
320140,Absolute Drift                            ,2015-07-29,0,20,1673,225,145,195
320150,Deadlings: Rotten Edition                 ,2014-11-11,0,32,225,47,188,217
320240,We Happy Few                              ,2018-08-10,0,50,3130,1333,308,308
320300,Car Mechanic Simulator 2015               ,2015-04-23,0,0,8238,827,680,740
320310,World Truck Racing                        ,2014-09-16,0,0,28,70,0,0
320320,Darkstone                                 ,2014-09-25,0,0,160,56,27375,27375
320330,Earthworms                                ,2018-02-23,0,0,40,3,0,0
320340,Cosmonautica                              ,2015-07-31,0,31,503,498,196,196
320400,Magnifico                                 ,2014-12-02,0,0,64,47,6,6
320410,Near Impact                               ,2014-09-16,0,0,2,3,0,0
320430,Ascension: Deckbuilding Game              ,2014-12-16,0,70,331,83,0,0
320520,Oscura: Lost Light                        ,2015-02-24,0,7,77,34,0,0
320540,Coffin Dodgers                            ,2015-07-08,0,37,408,178,0,0
320610,Questerium: Sinister Trinity HD Collector',2015-01-15,0,23,109,30,0,0
320630,Season Match                              ,2014-09-15,0,8,102,32,0,0
320650,Season Match 2                            ,2014-10-10,0,9,42,31,0,0
320670,Season Match 3 - Curse of the Witch Crow  ,2014-10-30,0,31,74,21,0,0
320690,The Treasures of Montezuma 3              ,2014-10-16,0,0,136,66,0,0
320760,Tokyo School Life                         ,2015-02-12,16,0,586,35,404,404
320790,Fabula Mortis                             ,2014-10-27,0,0,32,39,0,0
320820,Toren                                     ,2015-05-11,0,12,707,370,0,0
320840,Wings! Remastered Edition                 ,2014-10-17,0,12,255,74,0,0
320970,IGT Slots Paradise Garden                 ,2014-09-17,0,0,52,36,0,0
321030,One Day For Ched                          ,2014-09-12,0,0,118,141,0,0
321060,Gender Bender DNA Twister Extreme         ,2015-11-23,18,0,136,51,0,0
321080,Pirate Hell                               ,2014-11-07,0,0,8,7,0,0
321150,Melissa K. and the Heart of Gold Collector,2014-09-19,0,26,499,195,182,212
321160,Timber Tennis: Versus                     ,2018-11-08,0,15,17,12,0,0
321190,Cho Dengeki Stryker All Ages Version      ,2014-09-19,0,0,85,7,359,359
321260,Wickland                                  ,2015-02-06,0,5,442,374,117,132
321270,UNLOVED                                   ,2016-09-29,0,56,534,153,114,114
321290,Dandelion - Wishes brought to you -       ,2014-09-29,0,0,479,64,0,0
321330,ENYO Arcade                               ,2015-11-09,0,14,46,17,0,0
321350,Fairspace                                 ,2015-10-21,0,38,16,9,0,0
321360,Primal Carnage: Extinction                ,2015-04-03,0,43,2898,1123,166,209
321370,Sign Motion                               ,2014-10-24,0,15,52,30,0,0
321390,Zone 22                                   ,2015-07-31,0,0,2,12,0,0
321400,Supraball                                 ,2019-02-08,0,36,1710,530,165,222
321410,Command: Modern Air / Naval Operations WOT,2014-09-26,0,0,424,78,0,0
321450,Aquadelic GT                              ,2015-03-25,0,0,24,7,0,0
321480,Sigils of Elohim                          ,2014-10-13,0,0,828,71,17,29
321490,MotoGP™14 Compact                       ,2014-11-21,0,15,19,38,0,0
321560,The Sun and Moon                          ,2014-11-14,0,13,122,19,0,0
321600,The Flying Dutchman                       ,2014-09-12,0,0,7,47,0,0
321610,Demonlisher                               ,2014-09-16,0,0,12,8,0,0
321660,Mining Industry Simulator                 ,2014-11-28,0,49,18,46,0,0
321710,Battle Of Europe                          ,2014-09-18,0,0,10,4,0,0
321800,Icewind Dale: Enhanced Edition            ,2014-10-30,0,50,710,123,202,202
321830,Cavern Kings                              ,2014-09-30,0,0,152,52,0,0
321840,Rising Angels: Reborn                     ,2014-09-12,0,0,474,116,53,80
321870,Silence of the Sleep                      ,2014-10-01,0,0,388,131,217,217
321880,Aveyond 3-3: The Lost Orb                 ,2015-01-16,0,0,12,3,0,0
321890,Aveyond 3-4: The Darkthrop Prophecy       ,2015-02-13,0,0,16,2,0,0
321920,Schein                                    ,2014-10-09,0,21,198,61,551,551
321940,Moorhuhn: Tiger and Chicken               ,2014-09-24,0,0,22,9,0,0
321950,Yury                                      ,2014-12-09,0,14,236,242,225,286
321960,Might & Magic® Heroes® VII              ,2015-09-29,0,33,1438,1665,0,0
322030,Unlimited Escape                          ,2015-02-05,0,0,1,2,0,0
322080,Disorder                                  ,2015-01-12,0,16,62,20,95,95
322110,20XX                                      ,2017-08-16,0,50,2591,205,166,166
322130,Disney Princess: Enchanted Journey        ,2014-10-10,0,0,15,3,0,0
322170,Geometry Dash                             ,2014-12-22,0,120,52737,2990,5546,1471
322190,SteamWorld Heist                          ,2016-06-07,0,47,2660,121,388,469
322210,"Guns, Gore & Cannoli                      ",2015-04-30,0,21,1650,125,0,0
322290,Gurumin: A Monstrous Adventure            ,2015-03-30,0,53,513,48,454,454
322300,The Repopulation                          ,2014-12-22,0,0,633,430,0,0
322330,Don't Starve Together                     ,2016-04-21,0,0,108601,4206,1070,404
322430,Bubonic: Outbreak                         ,2016-02-12,0,0,1,5,0,0
322440,Red Goddess: Inner World                  ,2015-08-31,0,12,32,32,0,0
322450,FRAMED Collection                         ,2018-05-17,0,18,164,9,0,0
322500,SUPERHOT                                  ,2016-02-25,0,26,14847,2202,212,203
322520,DYNASTY WARRIORS® 8 Empires              ,2015-02-26,0,48,561,318,0,0
322540,Galactic Inheritors                       ,2015-06-09,0,0,34,40,0,0
322580,Dungeon Lurk II - Leona                   ,2014-10-27,16,0,10,26,0,0
322630,Mind Zero                                 ,2016-03-08,0,36,31,32,0,0
322680,BLACKHOLE                                 ,2015-02-27,0,45,633,84,4,4
322750,Drifting Lands                            ,2017-06-05,0,24,184,41,0,0
322770,Vanishing Realms™                       ,2016-04-05,0,9,2132,132,0,0
322780,Worlds Adrift                             ,2017-05-24,0,0,2621,1096,592,592
322850,Pro Cycling Manager 2015                  ,2015-06-18,0,47,192,133,0,0
322900,"War, the Game                             ",2015-01-12,0,28,268,113,195,195
322910,"Warhammer 40,000: Regicide                ",2015-09-08,0,35,1158,468,87,172
322930,aerofly RC 7                              ,2014-11-06,0,0,59,22,0,0
322950,Pure Hold'em                              ,2015-08-20,0,50,38,42,0,0
322970,Subject 13                                ,2015-05-28,0,8,132,85,8,8
322980,Gods vs Humans                            ,2014-10-10,0,0,51,42,0,0
322990,Black Viper: Sophia's Fate                ,2014-10-16,0,0,23,32,0,0
323000,Roaming Fortress                          ,2014-11-20,0,0,6,6,0,0
323020,Destructamundo                            ,2015-01-28,0,13,4,1,0,0
323040,Laserlife                                 ,2015-09-22,0,12,62,19,0,0
323060,Tharsis                                   ,2016-01-11,0,12,1397,616,272,272
323190,Frostpunk                                 ,2018-04-24,16,75,22952,3202,1084,618
323220,Vagante                                   ,2018-02-21,0,0,1662,195,0,0
323240,The World II: Hunting BOSS                ,2014-11-07,0,0,30,33,0,0
323250,Hexus                                     ,2014-09-17,0,0,43,12,0,0
323260,Robin's Island Adventure                  ,2014-09-17,0,0,16,15,0,0
323270,Jane Angel: Templar Mystery               ,2014-09-17,0,0,21,17,0,0
323280,Sea Legends: Phantasmal Light Collector's ,2014-09-17,0,0,64,16,0,0
323320,Grow Home                                 ,2015-02-04,0,26,3855,382,142,162
323380,The Magic Circle                          ,2015-07-09,0,14,1048,83,75,75
323430,Crow                                      ,2014-10-06,0,0,70,33,0,0
323450,Alphadia Genesis                          ,2015-01-12,0,20,80,16,450,481
323460,Raiden IV: OverKill                       ,2015-09-02,0,47,314,53,6,6
323470,DRAGON BALL XENOVERSE                     ,2015-02-26,0,50,12601,1680,2575,2530
323490,Oblivious Garden ~Carmina Burana          ,2014-12-12,0,38,436,38,278,278
323580,Jotun: Valhalla Edition                   ,2015-09-29,0,36,5325,1470,203,216
323630,Ubinota                                   ,2015-03-04,0,46,172,14,0,0
323670,Super Indie Karts                         ,2015-05-06,0,0,197,44,0,0
323680,Caffeine                                  ,2015-10-12,0,11,8,35,0,0
323700,Poltergeist: A Pixelated Horror           ,2014-10-20,0,12,29,12,0,0
323720,Decay: The Mare                           ,2015-02-13,0,42,713,258,49,49
323780,Fireworks Simulator                       ,2014-11-26,0,0,84,70,0,0
323850,Move or Die                               ,2016-01-21,0,66,8633,1245,299,174
324050,Farm Mechanic Simulator 2015              ,2015-05-01,0,0,35,30,0,0
324070,iO                                        ,2014-12-05,0,39,145,32,53,90
324080,Rising World                              ,2014-12-03,0,0,2557,605,0,0
324090,Football Club Simulator - FCS NS#19       ,2016-03-04,0,18,85,51,0,0
324110,Moto Racer Collection                     ,2014-10-02,0,0,37,40,0,0
324120,Verde Station                             ,2014-12-18,0,12,191,72,0,0
324140,Kalimba                                   ,2015-04-22,0,41,205,14,0,0
324160,CLANNAD                                   ,2015-11-23,0,22,1900,40,188,188
324170,Pyrite Heart                              ,2014-09-25,0,0,188,90,217,217
324190,CodeSpells                                ,2015-09-18,0,0,92,90,0,0
324240,I Will Escape                             ,2014-12-22,0,0,7,8,0,0
324260,VoidExpanse                               ,2015-04-02,0,35,458,189,0,0
324270,Revenge: Rhobar's myth                    ,2015-09-08,0,27,3,6,0,0
324310,Bus Simulator 16                          ,2016-03-02,0,30,1415,889,273,491
324360,TOTM                                      ,2015-02-03,0,0,7,9,0,0
324390,The Body Changer                          ,2015-10-15,0,45,41,10,0,0
324400,Pocket God vs Desert Ashes                ,2015-08-19,0,8,8,12,0,0
324420,Desert Ashes                              ,2014-11-10,0,11,40,31,214,214
324470,SinaRun                                   ,2015-10-26,0,10,141,39,0,0
324510,Boundless                                 ,2018-09-11,0,59,1153,486,55204,55204
324520,Defense Zone 3 Ultra HD                   ,2016-12-14,0,105,163,43,0,0
324570,Halo: Spartan Strike                      ,2015-04-16,0,20,528,106,6,6
324610,The Shopkeeper                            ,2014-10-23,0,10,18,117,0,0
324650,Gemini: Heroes Reborn                     ,2016-01-18,16,21,285,83,0,0
324680,Impossible Creatures Steam Edition        ,2015-11-11,0,0,731,34,0,0
324710,To Be or Not To Be                        ,2015-02-04,0,33,165,13,0,0
324730,Caverns of the Snow Witch (Standalone)    ,2015-08-03,0,30,21,7,82,82
324740,The Warlock of Firetop Mountain           ,2016-08-30,0,54,345,103,237,237
324750,StuntMANIA Reloaded                       ,2014-11-13,0,20,45,36,0,0
324760,Monster Truck Destruction                 ,2015-07-10,0,0,137,167,15,15
324770,eXperience 112                            ,2014-10-24,0,0,37,33,0,0
324800,Shadow Warrior 2                          ,2016-10-13,0,64,10152,1406,993,1655
324810,TOXIKK™                                 ,2016-09-10,0,60,3865,1182,50,47
325060,Parallax                                  ,2015-03-10,0,13,109,13,0,0
325090,Deep Dungeons of Doom                     ,2014-10-14,0,46,440,115,188,297
325110,Save the Furries                          ,2014-10-10,0,0,26,11,0,0
325120,Notch - The Innocent LunA: Eclipsed Sinner,2015-06-04,16,20,578,73,586,586
325150,Run or Die                                ,2014-12-11,0,15,108,15,0,0
325160,Bik - A Space Adventure                   ,2014-10-14,0,15,39,2,0,0
325180,AppGameKit: Easy Game Development         ,2014-11-21,0,0,225,27,1,1
325300,BEARZERKERS                               ,2015-10-23,0,0,8,0,0,0
325320,Mythos: The Beginning - Director's Cut    ,2014-10-27,0,0,41,21,0,0
325370,Nova-111                                  ,2015-08-25,0,10,116,30,406,406
325420,Homebrew - Patent Unknown                 ,2014-11-14,0,0,591,184,0,0
325430,Metaverse                                 ,2016-04-05,0,0,38,43,0,0
325470,1953: NATO vs Warsaw Pact                 ,2014-12-04,0,0,15,39,307,307
325520,Fire                                      ,2015-04-09,0,27,299,50,0,0
325610,Total War: ATTILA                         ,2015-02-17,0,118,12297,4469,2147,2926
325730,The Hive                                  ,2016-08-25,0,40,145,64,0,0
325790,Fallen: A2P Protocol                      ,2015-08-14,0,21,81,134,0,0
325860,Fat Chicken                               ,2014-12-04,0,20,30,11,0,0
325870,Clash of Puppets                          ,2014-12-16,0,60,40,16,0,0
325880,Crystal Catacombs                         ,2015-01-15,0,10,35,44,0,0
325930,Viking Squad                              ,2016-10-04,0,14,162,21,0,0
326110,Defenders of the Last Colony              ,2016-06-23,0,4,9,14,0,0
326120,Horizon Shift                             ,2015-05-29,0,12,228,60,216,217
326130,Alcatraz Builder                          ,2014-10-24,0,0,26,22,0,0
326150,Death Skid Marks                          ,2014-11-20,18,30,513,43,0,0
326160,Shroud of the Avatar: Forsaken Virtues    ,2018-03-27,0,29,1065,1017,54618,54618
326180,Sinister City                             ,2014-10-20,0,17,942,484,236,306
326190,Alchemy Mysteries: Prague Legends         ,2014-12-22,0,15,775,231,245,309
326230,Smugglers 5: Invasion                     ,2014-10-16,0,0,14,10,0,0
326340,River City Super Sports Challenge ~All Sta,2015-12-17,0,46,432,197,0,0
326360,Warspear Online                           ,2017-11-02,0,37,605,270,21,22
326380,Mystery of Neuschwanstein                 ,2015-02-18,0,15,35,9,0,0
326410,Windward                                  ,2015-05-12,0,31,2203,552,1064,1064
326420,Sam Glyph: Private Eye!                   ,2014-10-09,0,5,9,31,0,0
326460,ShellShock Live                           ,2015-03-11,0,58,11426,1264,1218,1048
326470,Space Warp                                ,2014-11-04,0,22,27,10,0,0
326480,If My Heart Had Wings                     ,2014-11-24,0,20,2780,219,784,784
326520,Chime Sharp                               ,2016-07-19,0,17,82,23,3,3
326590,Cinemaware Anthology: 1986-1991           ,2014-11-14,0,0,44,14,0,0
326630,Club Manager 2015                         ,2014-12-04,0,0,40,53,0,0
326650,The Legend of Candlewind: Nights & Candles,2015-02-12,0,11,6,40,0,0
326670,Warhammer Quest                           ,2015-01-07,0,53,516,246,5934,5934
326720,Instant Dungeon!                          ,2014-11-25,0,51,139,23,0,0
326730,Whisper of a Rose                         ,2014-11-14,0,53,37,39,105,105
326840,Heart&Slash                               ,2016-08-09,0,71,302,67,0,0
326950,Sword of Asumi                            ,2015-01-08,0,22,258,90,435,435
326960,Killing Floor - Toy Master                ,2014-10-16,0,0,21,2,1,1
326990,Deep Eclipse: New Space Odyssey           ,2014-10-28,0,0,20,19,1,1
327000,Infinite Game Works Episode 1             ,2015-10-26,0,1,2,4,0,0
327010,Motorama                                  ,2014-11-21,0,21,116,210,0,0
327030,Worms W.M.D                               ,2016-08-23,0,29,2132,528,424,574
327060,FEIST                                     ,2015-07-23,0,40,348,109,54,54
327070,Gloria Victis                             ,2016-06-09,0,46,2646,1211,379,757
327090,Out of Reach                              ,2018-07-13,0,44,1512,905,868,868
327140,Tilt Brush                                ,2016-04-05,0,0,796,26,92,92
327150,Deadstone                                 ,2014-11-12,0,47,39,12,0,0
327210,Cheesecake Cool Conrad                    ,2014-10-08,0,0,21,11,0,0
327220,Anna's Quest                              ,2015-07-02,0,39,875,119,133,247
327260,Super Life of Pixel                       ,2014-10-22,0,72,276,55,0,0
327310,The Marvellous Miss Take                  ,2014-11-20,0,19,235,46,510,510
327370,Brink of Consciousness: The Lonely Hearts ,2014-11-24,0,0,85,13,0,0
327380,Sid Meier's Pirates! Gold Plus (Classic)  ,2014-10-09,0,0,28,20,0,0
327390,Sid Meier's Covert Action (Classic)       ,2014-10-09,0,0,69,9,0,0
